iter	Passed	Remaining
0	15	15562
1	28	14424
2	41	13888
3	55	13726
4	67	13446
5	80	13383
6	93	13315
7	106	13232
8	119	13181
9	132	13134
10	146	13173
11	159	13099
12	171	13046
13	183	12950
14	197	12971
15	210	12918
16	224	12970
17	237	12977
18	251	12996
19	264	12975
20	277	12940
21	288	12811
22	303	12889
23	315	12834
24	329	12862
25	344	12893
26	357	12900
27	371	12903
28	385	12897
29	397	12867
30	410	12826
31	422	12787
32	437	12830
33	453	12887
34	467	12894
35	483	12947
36	497	12946
37	510	12934
38	526	12963
39	540	12973
40	552	12911
41	564	12883
42	579	12886
43	591	12858
44	605	12841
45	622	12899
46	635	12892
47	649	12884
48	663	12883
49	676	12855
50	691	12867
51	704	12838
52	716	12801
53	729	12776
54	741	12747
55	755	12735
56	767	12691
57	780	12671
58	795	12682
59	807	12656
60	821	12643
61	834	12622
62	848	12625
63	863	12626
64	876	12605
65	889	12586
66	900	12543
67	913	12525
68	928	12521
69	940	12500
70	955	12506
71	969	12501
72	982	12476
73	993	12430
74	1003	12382
75	1017	12366
76	1029	12346
77	1041	12315
78	1054	12294
79	1070	12310
80	1082	12280
81	1095	12259
82	1106	12224
83	1119	12203
84	1129	12158
85	1142	12142
86	1156	12137
87	1169	12121
88	1184	12127
89	1198	12123
90	1212	12116
91	1223	12073
92	1237	12066
93	1252	12071
94	1267	12079
95	1283	12090
96	1298	12086
97	1313	12092
98	1326	12071
99	1339	12051
100	1353	12051
101	1369	12057
102	1382	12042
103	1395	12023
104	1408	12005
105	1423	12006
106	1436	11988
107	1447	11958
108	1460	11937
109	1472	11916
110	1485	11899
111	1500	11893
112	1514	11884
113	1529	11884
114	1544	11886
115	1556	11863
116	1569	11847
117	1582	11832
118	1596	11821
119	1608	11793
120	1621	11780
121	1635	11771
122	1651	11773
123	1667	11780
124	1682	11777
125	1697	11778
126	1715	11791
127	1733	11807
128	1750	11819
129	1769	11839
130	1785	11842
131	1798	11828
132	1813	11821
133	1829	11824
134	1844	11817
135	1860	11818
136	1875	11813
137	1887	11786
138	1902	11786
139	1919	11791
140	1933	11779
141	1949	11777
142	1964	11771
143	1978	11762
144	1990	11739
145	2004	11723
146	2016	11703
147	2030	11690
148	2043	11671
149	2056	11656
150	2071	11647
151	2086	11638
152	2101	11631
153	2115	11622
154	2127	11596
155	2141	11587
156	2155	11574
157	2169	11562
158	2184	11555
159	2199	11545
160	2213	11533
161	2229	11531
162	2242	11514
163	2257	11506
164	2272	11498
165	2284	11480
166	2298	11465
167	2313	11458
168	2326	11440
169	2341	11433
170	2355	11420
171	2371	11416
172	2385	11405
173	2400	11397
174	2412	11372
175	2424	11353
176	2439	11343
177	2451	11321
178	2463	11297
179	2477	11288
180	2490	11271
181	2506	11265
182	2522	11259
183	2537	11252
184	2550	11236
185	2567	11235
186	2583	11231
187	2597	11218
188	2610	11200
189	2626	11195
190	2637	11171
191	2652	11161
192	2664	11141
193	2677	11123
194	2690	11106
195	2704	11095
196	2720	11088
197	2731	11062
198	2743	11043
199	2758	11034
200	2772	11020
201	2787	11012
202	2803	11007
203	2819	11000
204	2834	10993
205	2848	10978
206	2863	10971
207	2879	10963
208	2892	10947
209	2905	10929
210	2917	10910
211	2933	10902
212	2946	10885
213	2957	10862
214	2971	10848
215	2984	10830
216	2997	10816
217	3009	10795
218	3023	10783
219	3038	10773
220	3051	10755
221	3065	10742
222	3080	10732
223	3094	10720
224	3108	10707
225	3123	10698
226	3135	10677
227	3149	10662
228	3161	10645
229	3176	10635
230	3192	10627
231	3206	10615
232	3220	10601
233	3234	10588
234	3249	10576
235	3264	10569
236	3278	10553
237	3291	10538
238	3304	10521
239	3318	10507
240	3333	10497
241	3347	10484
242	3363	10477
243	3375	10457
244	3388	10442
245	3401	10425
246	3414	10409
247	3429	10399
248	3444	10389
249	3460	10381
250	3476	10373
251	3490	10361
252	3503	10344
253	3516	10327
254	3530	10315
255	3544	10300
256	3558	10288
257	3571	10270
258	3584	10254
259	3597	10240
260	3613	10230
261	3625	10212
262	3639	10199
263	3652	10183
264	3666	10169
265	3682	10161
266	3695	10146
267	3709	10132
268	3723	10118
269	3738	10106
270	3752	10094
271	3766	10081
272	3781	10068
273	3792	10050
274	3805	10031
275	3816	10012
276	3832	10003
277	3846	9990
278	3861	9978
279	3875	9964
280	3890	9953
281	3904	9939
282	3916	9923
283	3930	9909
284	3945	9897
285	3960	9887
286	3974	9873
287	3988	9861
288	4000	9841
289	4013	9826
290	4025	9808
291	4040	9796
292	4053	9779
293	4066	9764
294	4079	9749
295	4094	9737
296	4108	9725
297	4122	9711
298	4137	9699
299	4150	9683
300	4163	9669
301	4175	9651
302	4189	9636
303	4203	9623
304	4217	9609
305	4229	9592
306	4243	9579
307	4257	9566
308	4270	9548
309	4282	9532
310	4295	9516
311	4306	9496
312	4322	9486
313	4336	9473
314	4349	9458
315	4361	9441
316	4374	9425
317	4386	9406
318	4399	9392
319	4411	9374
320	4425	9361
321	4439	9347
322	4452	9331
323	4466	9318
324	4480	9306
325	4496	9295
326	4509	9281
327	4523	9266
328	4534	9249
329	4549	9236
330	4561	9220
331	4576	9208
332	4590	9194
333	4603	9180
334	4617	9165
335	4629	9149
336	4643	9135
337	4653	9113
338	4665	9097
339	4679	9083
340	4692	9068
341	4705	9053
342	4719	9039
343	4731	9022
344	4747	9012
345	4759	8996
346	4772	8980
347	4785	8965
348	4800	8954
349	4815	8942
350	4828	8927
351	4840	8910
352	4850	8890
353	4863	8875
354	4876	8859
355	4888	8842
356	4902	8830
357	4914	8813
358	4928	8799
359	4940	8783
360	4954	8770
361	4967	8754
362	4984	8746
363	4997	8732
364	5010	8717
365	5026	8706
366	5040	8693
367	5052	8676
368	5066	8663
369	5078	8647
370	5092	8633
371	5106	8620
372	5118	8603
373	5132	8591
374	5146	8577
375	5158	8560
376	5171	8546
377	5186	8534
378	5201	8523
379	5215	8510
380	5231	8500
381	5246	8487
382	5257	8470
383	5271	8456
384	5284	8441
385	5296	8425
386	5312	8414
387	5325	8399
388	5337	8384
389	5350	8368
390	5363	8353
391	5375	8338
392	5389	8324
393	5404	8312
394	5418	8299
395	5432	8286
396	5446	8272
397	5461	8261
398	5476	8249
399	5490	8235
400	5504	8222
401	5518	8209
402	5532	8196
403	5545	8181
404	5560	8168
405	5574	8155
406	5588	8142
407	5603	8130
408	5618	8118
409	5636	8110
410	5651	8099
411	5666	8087
412	5681	8075
413	5695	8061
414	5707	8045
415	5721	8031
416	5736	8019
417	5749	8005
418	5762	7990
419	5776	7977
420	5789	7962
421	5803	7949
422	5818	7936
423	5833	7924
424	5848	7912
425	5860	7897
426	5875	7883
427	5891	7873
428	5907	7862
429	5922	7851
430	5937	7838
431	5952	7826
432	5965	7811
433	5979	7798
434	5992	7783
435	6007	7771
436	6021	7757
437	6035	7744
438	6048	7729
439	6061	7714
440	6075	7700
441	6087	7684
442	6099	7669
443	6111	7653
444	6126	7640
445	6139	7626
446	6152	7612
447	6167	7598
448	6179	7582
449	6190	7566
450	6203	7551
451	6218	7539
452	6231	7524
453	6243	7509
454	6256	7493
455	6270	7480
456	6283	7466
457	6295	7450
458	6308	7435
459	6320	7419
460	6333	7405
461	6346	7390
462	6359	7376
463	6372	7360
464	6383	7344
465	6394	7328
466	6409	7315
467	6424	7302
468	6435	7285
469	6448	7271
470	6460	7255
471	6471	7239
472	6485	7226
473	6498	7211
474	6510	7195
475	6522	7180
476	6535	7165
477	6548	7151
478	6562	7138
479	6574	7122
480	6585	7105
481	6600	7093
482	6614	7080
483	6629	7068
484	6643	7053
485	6654	7037
486	6669	7025
487	6684	7013
488	6702	7004
489	6717	6991
490	6732	6979
491	6747	6966
492	6762	6954
493	6777	6942
494	6793	6930
495	6806	6916
496	6822	6904
497	6837	6892
498	6852	6880
499	6867	6867
500	6881	6854
501	6897	6842
502	6910	6828
503	6923	6813
504	6935	6798
505	6950	6785
506	6963	6771
507	6977	6757
508	6992	6744
509	7005	6731
510	7019	6717
511	7032	6703
512	7046	6689
513	7060	6675
514	7072	6660
515	7085	6645
516	7100	6633
517	7114	6619
518	7128	6606
519	7140	6591
520	7155	6578
521	7170	6565
522	7182	6550
523	7194	6535
524	7209	6522
525	7222	6508
526	7234	6493
527	7245	6477
528	7260	6464
529	7271	6448
530	7286	6435
531	7301	6423
532	7313	6408
533	7326	6393
534	7339	6378
535	7353	6365
536	7365	6350
537	7379	6336
538	7391	6322
539	7406	6309
540	7420	6295
541	7434	6281
542	7446	6267
543	7460	6253
544	7475	6240
545	7489	6227
546	7503	6214
547	7516	6200
548	7529	6185
549	7542	6171
550	7556	6157
551	7569	6143
552	7583	6129
553	7596	6115
554	7611	6102
555	7622	6087
556	7636	6073
557	7647	6057
558	7659	6042
559	7671	6027
560	7684	6013
561	7696	5998
562	7709	5984
563	7724	5971
564	7736	5956
565	7752	5944
566	7764	5929
567	7776	5914
568	7791	5901
569	7803	5886
570	7817	5873
571	7833	5861
572	7847	5848
573	7861	5834
574	7875	5820
575	7889	5807
576	7904	5794
577	7920	5782
578	7934	5768
579	7949	5756
580	7962	5742
581	7976	5728
582	7989	5714
583	8001	5699
584	8015	5686
585	8030	5673
586	8044	5660
587	8057	5645
588	8070	5631
589	8084	5617
590	8097	5604
591	8110	5589
592	8124	5576
593	8141	5564
594	8157	5552
595	8170	5538
596	8185	5525
597	8199	5512
598	8213	5498
599	8225	5483
600	8236	5468
601	8249	5454
602	8264	5440
603	8278	5427
604	8290	5412
605	8303	5398
606	8318	5385
607	8330	5370
608	8342	5356
609	8356	5342
610	8369	5328
611	8383	5315
612	8399	5302
613	8414	5290
614	8428	5276
615	8443	5263
616	8457	5250
617	8471	5236
618	8483	5221
619	8497	5208
620	8512	5195
621	8524	5180
622	8539	5167
623	8553	5154
624	8565	5139
625	8580	5126
626	8594	5112
627	8607	5098
628	8623	5086
629	8635	5071
630	8649	5058
631	8664	5045
632	8675	5029
633	8690	5017
634	8704	5003
635	8718	4989
636	8728	4974
637	8739	4958
638	8751	4944
639	8760	4927
640	8775	4914
641	8787	4900
642	8801	4886
643	8816	4873
644	8830	4859
645	8844	4846
646	8854	4831
647	8868	4817
648	8879	4802
649	8892	4788
650	8905	4774
651	8918	4760
652	8930	4745
653	8942	4730
654	8953	4716
655	8967	4702
656	8981	4689
657	8994	4674
658	9008	4661
659	9023	4648
660	9035	4633
661	9047	4619
662	9062	4606
663	9077	4593
664	9090	4579
665	9104	4565
666	9117	4551
667	9130	4537
668	9143	4523
669	9155	4509
670	9169	4495
671	9185	4483
672	9199	4469
673	9212	4455
674	9224	4441
675	9238	4428
676	9251	4413
677	9265	4400
678	9278	4386
679	9292	4372
680	9306	4359
681	9316	4344
682	9329	4329
683	9341	4315
684	9354	4301
685	9367	4287
686	9378	4272
687	9392	4259
688	9406	4246
689	9421	4232
690	9435	4219
691	9448	4205
692	9462	4191
693	9477	4178
694	9491	4165
695	9505	4151
696	9516	4137
697	9529	4123
698	9541	4108
699	9555	4095
700	9569	4081
701	9581	4067
702	9593	4052
703	9605	4038
704	9619	4025
705	9631	4011
706	9646	3997
707	9659	3983
708	9671	3969
709	9684	3955
710	9698	3942
711	9712	3928
712	9726	3914
713	9738	3900
714	9750	3886
715	9764	3873
716	9776	3858
717	9790	3845
718	9803	3831
719	9817	3817
720	9831	3804
721	9844	3790
722	9856	3776
723	9869	3762
724	9883	3748
725	9898	3735
726	9910	3721
727	9923	3707
728	9936	3693
729	9950	3680
730	9964	3666
731	9978	3653
732	9989	3638
733	9999	3623
734	10013	3610
735	10026	3596
736	10040	3583
737	10054	3569
738	10065	3554
739	10076	3540
740	10090	3526
741	10103	3513
742	10116	3499
743	10130	3485
744	10142	3471
745	10155	3457
746	10170	3444
747	10184	3431
748	10198	3417
749	10212	3404
750	10224	3390
751	10235	3375
752	10248	3361
753	10260	3347
754	10271	3333
755	10287	3320
756	10303	3307
757	10319	3294
758	10331	3280
759	10343	3266
760	10354	3252
761	10368	3238
762	10382	3224
763	10395	3211
764	10406	3196
765	10421	3183
766	10433	3169
767	10446	3155
768	10461	3142
769	10473	3128
770	10487	3115
771	10500	3101
772	10514	3087
773	10528	3074
774	10542	3060
775	10554	3046
776	10564	3032
777	10577	3018
778	10589	3004
779	10601	2990
780	10614	2976
781	10627	2962
782	10640	2948
783	10654	2935
784	10666	2921
785	10679	2907
786	10693	2894
787	10706	2880
788	10721	2867
789	10736	2854
790	10749	2840
791	10764	2826
792	10777	2813
793	10793	2800
794	10808	2787
795	10822	2773
796	10837	2760
797	10849	2746
798	10863	2732
799	10876	2719
800	10889	2705
801	10903	2691
802	10916	2678
803	10929	2664
804	10942	2650
805	10957	2637
806	10971	2623
807	10986	2610
808	10998	2596
809	11011	2583
810	11026	2569
811	11040	2556
812	11051	2541
813	11065	2528
814	11076	2514
815	11091	2500
816	11103	2487
817	11117	2473
818	11130	2459
819	11143	2446
820	11154	2432
821	11168	2418
822	11179	2404
823	11193	2390
824	11206	2377
825	11219	2363
826	11232	2349
827	11247	2336
828	11259	2322
829	11273	2308
830	11286	2295
831	11299	2281
832	11313	2268
833	11327	2254
834	11341	2241
835	11353	2227
836	11369	2214
837	11382	2200
838	11398	2187
839	11412	2173
840	11428	2160
841	11441	2147
842	11455	2133
843	11468	2119
844	11482	2106
845	11494	2092
846	11509	2079
847	11520	2065
848	11535	2051
849	11546	2037
850	11558	2023
851	11572	2010
852	11585	1996
853	11598	1982
854	11613	1969
855	11630	1956
856	11650	1943
857	11666	1930
858	11679	1917
859	11696	1904
860	11712	1890
861	11727	1877
862	11742	1864
863	11754	1850
864	11765	1836
865	11779	1822
866	11794	1809
867	11810	1796
868	11824	1782
869	11837	1768
870	11852	1755
871	11865	1741
872	11878	1727
873	11889	1714
874	11904	1700
875	11916	1686
876	11928	1672
877	11942	1659
878	11955	1645
879	11968	1632
880	11981	1618
881	11996	1604
882	12008	1591
883	12022	1577
884	12036	1564
885	12051	1550
886	12064	1536
887	12076	1523
888	12091	1509
889	12104	1496
890	12119	1482
891	12133	1469
892	12145	1455
893	12159	1441
894	12170	1427
895	12183	1414
896	12196	1400
897	12208	1386
898	12219	1372
899	12232	1359
900	12245	1345
901	12260	1332
902	12272	1318
903	12286	1304
904	12300	1291
905	12314	1277
906	12328	1264
907	12339	1250
908	12355	1236
909	12366	1223
910	12378	1209
911	12392	1195
912	12406	1182
913	12419	1168
914	12433	1154
915	12448	1141
916	12464	1128
917	12475	1114
918	12489	1100
919	12501	1087
920	12514	1073
921	12527	1059
922	12537	1045
923	12551	1032
924	12564	1018
925	12576	1005
926	12588	991
927	12600	977
928	12613	964
929	12625	950
930	12640	936
931	12655	923
932	12668	909
933	12684	896
934	12694	882
935	12708	868
936	12719	855
937	12735	841
938	12749	828
939	12762	814
940	12774	800
941	12786	787
942	12800	773
943	12814	760
944	12829	746
945	12843	733
946	12855	719
947	12871	706
948	12885	692
949	12902	679
950	12917	665
951	12930	651
952	12947	638
953	12961	624
954	12975	611
955	12989	597
956	13000	584
957	13013	570
958	13026	556
959	13040	543
960	13054	529
961	13067	516
962	13081	502
963	13094	489
964	13106	475
965	13118	461
966	13132	448
967	13144	434
968	13156	420
969	13167	407
970	13179	393
971	13194	380
972	13206	366
973	13217	352
974	13231	339
975	13242	325
976	13255	312
977	13266	298
978	13280	284
979	13293	271
980	13307	257
981	13319	244
982	13335	230
983	13349	217
984	13362	203
985	13376	189
986	13390	176
987	13404	162
988	13415	149
989	13428	135
990	13442	122
991	13454	108
992	13466	94
993	13479	81
994	13493	67
995	13507	54
996	13519	40
997	13534	27
998	13547	13
999	13560	0
